window,datetime,candidate_id,overall_coverage,minimum_selected_sector_coverage,date_gate_pass,fallback_count
2024H1,2024-01-02,F0_r0_sector_4x1,0.976744186,0.9142857143,True,0
2024H1,2024-01-16,F0_r0_sector_4x1,0.976744186,0.9142857143,True,0
2024H1,2024-01-30,F0_r0_sector_4x1,0.976744186,0.9142857143,True,0
2024H1,2024-02-21,F0_r0_sector_4x1,0.976744186,0.9142857143,True,0
2024H1,2024-03-06,F0_r0_sector_4x1,0.976744186,0.9142857143,True,0
2024H1,2024-03-20,F0_r0_sector_4x1,0.976744186,0.9142857143,True,0
2024H1,2024-04-03,F0_r0_sector_4x1,0.9689922481,0.9142857143,True,0
2024H1,2024-04-19,F0_r0_sector_4x1,0.9689922481,0.9142857143,True,0
2024H1,2024-05-08,F0_r0_sector_4x1,0.984496124,0.9428571429,True,0
2024H1,2024-05-22,F0_r0_sector_4x1,0.984496124,0.9428571429,True,0
2024H1,2024-06-05,F0_r0_sector_4x1,0.984496124,0.9428571429,True,0
2024H1,2024-06-20,F0_r0_sector_4x1,0.984496124,0.9428571429,True,0
2024H2,2024-07-01,F0_r0_sector_4x1,0.984496124,0.9428571429,True,0
2024H2,2024-07-15,F0_r0_sector_4x1,0.984496124,0.9428571429,True,0
2024H2,2024-07-29,F0_r0_sector_4x1,0.984496124,0.9428571429,True,0
2024H2,2024-08-12,F0_r0_sector_4x1,0.984496124,0.9428571429,True,0
2024H2,2024-08-26,F0_r0_sector_4x1,0.984375,0.9310344828,True,0
2024H2,2024-09-09,F0_r0_sector_4x1,0.9921875,0.9428571429,True,0
2024H2,2024-09-25,F0_r0_sector_4x1,0.9921875,0.9428571429,True,0
2024H2,2024-10-16,F0_r0_sector_4x1,0.9921875,0.9428571429,True,0
2024H2,2024-10-30,F0_r0_sector_4x1,0.992248062,0.9428571429,True,0
2024H2,2024-11-13,F0_r0_sector_4x1,0.9921259843,0.9142857143,True,0
2024H2,2024-11-27,F0_r0_sector_4x1,0.9921259843,0.9142857143,True,0
2024H2,2024-12-11,F0_r0_sector_4x1,0.9921875,0.9142857143,True,0
2024H2,2024-12-25,F0_r0_sector_4x1,0.9921259843,0.9142857143,True,0
2025H1,2025-01-02,F0_r0_sector_4x1,0.9921875,0.9142857143,True,0
2025H1,2025-01-16,F0_r0_sector_4x1,0.9921875,0.9428571429,True,0
2025H1,2025-02-07,F0_r0_sector_4x1,0.9921875,0.9428571429,True,0
2025H1,2025-02-21,F0_r0_sector_4x1,0.9921875,0.9428571429,True,0
2025H1,2025-03-07,F0_r0_sector_4x1,0.992248062,0.9428571429,True,0
2025H1,2025-03-21,F0_r0_sector_4x1,0.9921875,0.9142857143,True,0
2025H1,2025-04-07,F0_r0_sector_4x1,0.9921875,0.9142857143,True,0
2025H1,2025-04-21,F0_r0_sector_4x1,0.9921875,0.9142857143,True,0
2025H1,2025-05-08,F0_r0_sector_4x1,0.9921875,0.9142857143,True,0
2025H1,2025-05-22,F0_r0_sector_4x1,0.992248062,0.9428571429,True,0
2025H1,2025-06-06,F0_r0_sector_4x1,0.992248062,1,True,0
2025H1,2025-06-20,F0_r0_sector_4x1,0.992248062,0.9428571429,True,0
2025H2,2025-07-01,F0_r0_sector_4x1,0.992248062,0.9428571429,True,0
2025H2,2025-07-15,F0_r0_sector_4x1,0.992248062,0.9428571429,True,0
2025H2,2025-07-29,F0_r0_sector_4x1,0.9921259843,0.9428571429,True,0
2025H2,2025-08-12,F0_r0_sector_4x1,0.9921259843,0.9655172414,True,0
2025H2,2025-08-26,F0_r0_sector_4x1,1,0.9428571429,True,0
2025H2,2025-09-09,F0_r0_sector_4x1,1,0.9428571429,True,0
2025H2,2025-09-23,F0_r0_sector_4x1,1,0.9428571429,True,0
2025H2,2025-10-15,F0_r0_sector_4x1,1,0.9428571429,True,0
2025H2,2025-10-29,F0_r0_sector_4x1,0.992248062,0.9428571429,True,0
2025H2,2025-11-12,F0_r0_sector_4x1,0.9921875,0.9428571429,True,0
2025H2,2025-11-26,F0_r0_sector_4x1,0.9921875,0.9428571429,True,0
2025H2,2025-12-10,F0_r0_sector_4x1,0.992248062,0.9428571429,True,0
2025H2,2025-12-24,F0_r0_sector_4x1,0.9921875,1,True,0
