signal_date,observed_at_utc,observation_sha256,data_version,observation_mode,prospective_eligible,common_open_eligible,base_target_position,candidate_etf_weight,market_state,vol_state,incremental_return_5_20bps,incremental_return_5_40bps,incremental_return_10_20bps,incremental_return_10_40bps,incremental_return_20_20bps,incremental_return_20_40bps
2026-08-04,2026-08-04T19:20:23.152830+00:00,ce1dacc2e7c97ee758cefd3dbc36b0d94fc6c55f1ffdbcab6a8c473c2462f7f7,byd-515180-paired-2026-08-04-18c9505e-a7d5b124,same_session_post_close,True,True,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-05,2026-08-05T13:21:03.360101+00:00,8ea4608a9598f6fc613d479bbcb619234745a32846cf31b0e66d1e94e2799bee,byd-515180-paired-2026-08-05-cad816db-8d9a2098,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-06,2026-08-06T13:17:34.278455+00:00,bff2d2219e74d2ffd71dcf9be698b87a7483f5f2e5356569b396cc6642a74ddc,byd-515180-paired-2026-08-06-548cbbe9-468e6d96,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-07,2026-08-07T19:05:53.500782+00:00,382706d8174582316750420a5b2858cb1d3c4c85f329839dd3f3a8f07b09b97f,byd-515180-paired-2026-08-07-96362084-12ff084e,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-10,2026-08-10T14:28:12.273830+00:00,d68906318b3abf8b8e58a142cda3228240306bf7c5a5f3934184d87fd5f8607a,byd-515180-paired-2026-08-10-7d3f3b62-f5aacdc8,same_session_post_close,True,True,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-11,2026-08-11T05:08:19.354705+00:00,df6ea1d6d778d22affc08488b301d88c113264083680935ecbe9348b092f4335,byd-515180-paired-2026-08-11-f5eac00a-3f973c14,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-12,2026-08-12T02:13:20.821821+00:00,bf40236ee9f1aa580441880abd2e59b2416dd4ffe5ae3d017567138dbb6fff06,byd-515180-paired-2026-08-12-f8730de3-62022668,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-13,2026-08-13T12:14:39.695741+00:00,49c4f8b8af69629e8554ff778a102a539a8e610937e6c5bb4b0edc95c63981a0,byd-515180-paired-2026-08-13-530cb260-92b5f1eb,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-14,2026-08-14T12:12:45.119544+00:00,b55392e5b43e38c25ba93839fe329c153a1f6f0cc04f8a3f10972af6a430b6dd,byd-515180-paired-2026-08-14-b79d64ae-a746342e,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-17,2026-08-17T11:55:45.796487+00:00,2c276a0a0435a79503b370df23f6a8c88d942d997293ae1b1ae6f085265935fa,byd-515180-paired-2026-08-17-a32e84e1-7f10814a,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-18,2026-08-18T11:56:30.253845+00:00,1679d62e679c62a3a8a2847f667db7184e750c94e9faa4f3f0ca07cc661c39aa,byd-515180-paired-2026-08-18-fc5d30af-233338a6,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-19,2026-08-19T11:55:55.628220+00:00,c155238bc3e9944005cc06d72282d451454860067112b1d27cfcb0eb8c1461a3,byd-515180-paired-2026-08-19-9c2a3edc-f2dfdeb4,same_session_post_close,True,True,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-20,2026-08-20T11:55:12.383151+00:00,dcf607b485ed8a23fc96174e216a4f81dcffb84b82085268cdfc0478b44d8197,byd-515180-paired-2026-08-20-974b7954-8d7c33cb,same_session_post_close,True,True,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-21,2026-08-21T11:57:56.333101+00:00,175f73c5cc19f630fb7a331cd717e7fa69ce1b9cd08122c9a7e1189c6f06449d,byd-515180-paired-2026-08-21-1da94a87-94d3d6e9,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-24,2026-08-24T12:00:09.219542+00:00,d3a4a9396472c14d963f6cfeacfd67207b8d1c09d23e0c26f0cd01e3534b0970,byd-515180-paired-2026-08-24-a4b53c61-6217c3ef,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-25,2026-08-25T11:59:24.359951+00:00,03104d1b7ed7be9fab561c13051c6d6638fd32b9aa7c81fe41bb7ae2eb410d1b,byd-515180-paired-2026-08-25-500949e1-348fcc47,same_session_post_close,True,True,0.750000000000,0.250000000000,bear,high,,,,,,
2026-08-26,2026-08-26T12:05:00.359568+00:00,fe17ea342cbfa8b3eaa6b371c436d02ba93918ccedb54862c8a3aa7d8ec50d35,byd-515180-paired-2026-08-26-c35c91a3-1ae3d9d3,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,low,,,,,,
2026-08-27,2026-08-27T21:14:01.545049+00:00,c04c7f70dbed8d9a4af82b7594bbee4beb8b6401c02120921528cf5c621ac78f,byd-515180-paired-2026-08-27-00d557be-e8afeae7,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,low,,,,,,
2026-08-28,2026-08-28T21:32:29.052404+00:00,f618390185bcb86f3119bc7bd1238c7c637d2ad3c41ccd9b28a21cf11101575c,byd-515180-paired-2026-08-28-bb1eab10-2f0bde4e,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,low,,,,,,
2026-08-31,2026-08-31T18:10:50.416031+00:00,284dbcda99845b377afb53da82f92afc6be5ca7c0d05769414dc530818e62da2,byd-515180-paired-2026-08-31-26eba18c-ca506c48,same_session_post_close,False,True,0.750000000000,0.250000000000,bear,high,,,,,,
2026-09-01,2026-09-01T15:37:04.071910+00:00,24ce13cca6bce810d7a9efbf8ffbe0f6b34e1c3ef9723c1b912c50e8201930d5,byd-515180-paired-2026-09-01-394c733f-f9e6bd8a,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-09-02,2026-09-02T15:21:31.620501+00:00,d3e069e97854adec25adb9231db7241be1a546c355244ab35ce7e3266a3416d2,byd-515180-paired-2026-09-02-36b512e8-77212277,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-09-03,2026-09-03T15:09:30.187024+00:00,b5819ffed86bad2578fd4db6ebe640044d1dc521ed8434eb3d441be68ac221e1,byd-515180-paired-2026-09-03-5c0adc46-acc28c0b,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
2026-09-04,2026-09-04T15:08:42.208224+00:00,349b2be03b9024cecabbdff8c96205130bb9d35ceb8dac2c3c9e081d8730e33a,byd-515180-paired-2026-09-04-2bbba007-65a016af,same_session_post_close,False,False,0.750000000000,0.250000000000,bear,high,,,,,,
