signal_date,observed_at_utc,observation_mode,prospective_eligible,observation_sha256,data_version,provider_payload_sha256,secondary_payload_sha256,extended_adjusted_sha256,primary_provider,secondary_provider,open_research_eligible,raw_open,raw_high,raw_low,raw_close,raw_volume,provider_adjusted_close,adjusted_open,adjusted_high,adjusted_low,adjusted_close,independent_raw_open,independent_raw_close,dividend,stock_split,base_target_position,shadow_overlay_active,shadow_overlay_branch,shadow_target_position,branch_a_condition,branch_b_condition,drawdown_252,distance_from_low_20,momentum_accel_20_60,open_return_autocorr_20,market_state,vol_state,status,entry_open_date,exit_open_date_5,base_return_5_20bps,shadow_return_5_20bps,incremental_return_5_20bps,base_return_5_40bps,shadow_return_5_40bps,incremental_return_5_40bps,exit_open_date_10,base_return_10_20bps,shadow_return_10_20bps,incremental_return_10_20bps,base_return_10_40bps,shadow_return_10_40bps,incremental_return_10_40bps,exit_open_date_20,base_return_20_20bps,shadow_return_20_20bps,incremental_return_20_20bps,base_return_20_40bps,shadow_return_20_40bps,incremental_return_20_40bps
2026-08-04,2026-08-04T10:47:45.057947+00:00,same_session_post_close,True,18c9505ec03d71a934717c7d47112bec2d7a74c18946bb07e786bac930a61376,byd-shadow-v2-2026-08-04-4dced8f88481,4dced8f88481de5f3bf0888f682e588fbfe4140011d10eb3f148e2c90bc102c3,4288ae6c5e981d0b743f713ac1f708ccbff5476e4b953cdc00f2099dd04ae509,ad6e533d6c3e667a24dbc4941a012fd2f876de7e36d62983150a86d72c9d17f0,yfinance_unadjusted_plus_adj_close,akshare_sina_unadjusted,True,94.449996948242,94.489997863770,90.800003051758,91.150001525879,66771530.000000000000,91.150001525879,94.449996950000,94.489997865528,90.800003053448,91.150001527575,94.450000000000,91.150000000000,0.000000000000,0.000000000000,0.750000000000,False,,0.750000000000,False,False,-0.197874145855,0.053188370274,0.149739316757,-0.150191640690,bear,high,prospective_shadow_observation,2026-08-10,2026-08-20,-0.003865925915,-0.003865925915,0.000000000000,-0.003865925915,-0.003865925915,0.000000000000,,,,,,,,,,,,,,
2026-08-05,2026-08-05T13:10:59.904653+00:00,same_session_post_close,True,cad816db7049353f0aad7bedf0aba0e2d273a0502f03231b9d8d3143524cea70,byd-shadow-v2-2026-08-05-70c34a4da44e,70c34a4da44eeac157407f0176225cc43c7a8f4cf288425946f3894e3705108d,eab4781996ec2b1bffbade8ef71d9845ae4f1314560ae3b10bd8823840c6b5b6,ff604aa13016b40c6b74d82c1f38df097eb93959d112711ec8b24b0e9b738822,yfinance_unadjusted_plus_adj_close,akshare_sina_unadjusted,False,94.449996948242,91.180000305176,89.150001525879,90.819999694824,51559762.000000000000,90.819999694824,94.449996950000,91.180000306873,89.150001527538,90.819999696514,91.080000000000,90.820000000000,0.000000000000,0.000000000000,0.750000000000,False,,0.750000000000,False,False,-0.200778183115,0.049375379766,0.119594031394,-0.196592200442,bear,high,prospective_observation_open_quarantined,2026-08-10,2026-08-20,-0.003865925915,-0.003865925915,0.000000000000,-0.003865925915,-0.003865925915,0.000000000000,,,,,,,,,,,,,,
2026-08-06,2026-08-06T13:10:21.068812+00:00,same_session_post_close,True,548cbbe9ad70e883d4ad59bb97713f3cff59829ca84a43f980dc5af4331f38d7,byd-shadow-v2-2026-08-06-3d26b40e3039,3d26b40e30397457a5f3b685baa39b2eca50be02cc84acf92cf4b45b6d545df5,45f526229642142821da6d938172ab0a63af29deb0cb54a77ef7e7277cf87d35,97dc34e6a9987e598b9efe61eef01847d90c4f477ca384e2c1ceb214c8026bbd,yfinance_unadjusted_plus_adj_close,akshare_sina_unadjusted,False,94.449996948242,91.150001525879,89.230003356934,89.449996948242,36737226.000000000000,89.449996948242,94.449996950000,91.150001527575,89.230003358594,89.449996949907,90.500000000000,89.450000000000,0.000000000000,0.000000000000,0.750000000000,False,,0.750000000000,False,False,-0.212834295072,0.032238689559,0.122956303800,-0.219388905112,bear,high,prospective_observation_open_quarantined,2026-08-10,2026-08-20,-0.003865925915,-0.003865925915,0.000000000000,-0.003865925915,-0.003865925915,0.000000000000,,,,,,,,,,,,,,
2026-08-07,2026-08-07T12:08:17.258229+00:00,same_session_post_close,True,96362084b140fb02b1c7bc6d76360ddd114ed7d18d1d6653495c336691b631f1,byd-shadow-v2-2026-08-07-5d48258b4f94,5d48258b4f94a0c43e1efc35526480e66bae4d9506bb6ded3255e5565457ac70,e4fa7cfb22963553d06ce21081567f49b931add480fd4cae728fb15bbb141d0f,f269005a450674e225fdae4abc2e91c7ff15fe01b601809f0d4375c677fde991,yfinance_unadjusted_plus_adj_close,akshare_sina_unadjusted,False,94.449996948242,90.279998779297,88.550003051758,90.040000915527,40701576.000000000000,90.040000915527,94.449996950000,90.279998780977,88.550003053406,90.040000917203,89.770000000000,90.040000000000,0.000000000000,0.000000000000,0.750000000000,False,,0.750000000000,False,False,-0.207642222353,0.039047241183,0.088792761877,-0.038234338605,bear,high,prospective_observation_open_quarantined,2026-08-10,2026-08-20,-0.003865925915,-0.003865925915,0.000000000000,-0.003865925915,-0.003865925915,0.000000000000,,,,,,,,,,,,,,
2026-08-10,2026-08-10T12:09:33.612155+00:00,same_session_post_close,True,7d3f3b623f5073fe650680ae9384a1d7e926037386bafb8704bbf2811a1c7745,byd-shadow-v2-2026-08-10-4e3175ab357a,4e3175ab357a2b3051638ecff2c53578d7cfc58ba994a956ba78a1d3aac8e628,cbabdfed581e580b9aa6b1c80bcf7ab81482ae56803eb264a1964391ce2cc825,178c5d88b74c939857aa46fb709f82d4435cda45eabd6f347942d8d5f5576d52,yfinance_unadjusted_plus_adj_close,akshare_sina_unadjusted,True,89.769996643066,91.800003051758,89.400001525879,91.150001525879,38573716.000000000000,91.150001525879,89.769996644737,91.800003053466,89.400001527543,91.150001527575,90.040000000000,91.150000000000,0.000000000000,0.000000000000,0.750000000000,False,,0.750000000000,False,False,-0.197874145855,0.019005082567,0.101799609398,0.022323774005,bear,high,prospective_shadow_observation,2026-08-13,2026-08-24,-0.006781713738,-0.006781713738,0.000000000000,-0.006781713738,-0.006781713738,0.000000000000,,,,,,,,,,,,,,
2026-08-11,2026-08-11T04:44:03.044516+00:00,same_session_post_close,True,f5eac00a80c880d117489ee6496d42e6d3ee34b625e1b75d58b33bab3c940a30,byd-shadow-v2-2026-08-11-36b4ec9e8a43,36b4ec9e8a439a336b4dd79f329d5d03a3c70e6f74b4aba1d20b8b3be1b3bd7d,cbabdfed581e580b9aa6b1c80bcf7ab81482ae56803eb264a1964391ce2cc825,af7cc3e782245a2d3951acf1c3e7ce2b3610b47bed1679d145eee7a61d85da71,yfinance_unadjusted_plus_adj_close,akshare_sina_unadjusted,False,91.180000305176,91.660003662109,89.930000305176,90.400001525879,16669626.000000000000,90.400001525879,91.180000306873,91.660003663815,89.930000306849,90.400001527561,,,0.000000000000,0.000000000000,0.750000000000,False,,0.750000000000,False,False,-0.204474193914,0.010620509894,0.046098599553,0.118997249193,bear,high,prospective_observation_open_quarantined,2026-08-13,2026-08-24,-0.006781713738,-0.006781713738,0.000000000000,-0.006781713738,-0.006781713738,0.000000000000,,,,,,,,,,,,,,
2026-08-12,2026-08-12T02:11:59.656044+00:00,same_session_post_close,True,f8730de3397f367dfab0dfee1b4b6391344877617ca1bcd4a26ba85927fd30c5,byd-shadow-v2-2026-08-12-437223def252,437223def25205ae0f11b7b07554ebbf71547a3c7e667e9c1e0be6b4500a4d12,d499dfee999a5769195649592f3cc108dd2f1f1d377c67d1df0ca6fc7a77816b,fc73ee9541c0bf27a2dd5f81f5baca305f7f9e868777ed5d511742357cbfde1a,yfinance_unadjusted_plus_adj_close,akshare_eastmoney_unadjusted,False,91.180000305176,91.139999389648,89.400001525879,90.959999084473,6467581.000000000000,90.959999084473,91.180000306873,91.139999391345,89.400001527543,90.959999086166,90.000000000000,90.470000000000,0.000000000000,0.000000000000,0.750000000000,False,,0.750000000000,False,False,-0.199546179515,0.016880963530,0.043945130027,0.270829697477,bear,high,prospective_observation_open_quarantined,2026-08-13,2026-08-24,-0.006781713738,-0.006781713738,0.000000000000,-0.006781713738,-0.006781713738,0.000000000000,,,,,,,,,,,,,,
2026-08-13,2026-08-13T12:11:23.912854+00:00,same_session_post_close,True,530cb2601b66cbe7bd9f6d625895b724859e1411650c6d810d1e5191820b3121,byd-shadow-v2-2026-08-13-833b41064dfd,833b41064dfd44fd2dfd7b7fcbbfe618aa2bb4074a8731ab0e10cb3e62ef0b4f,5aacd18d66a2c438423a262bc5374459e9d178927c3122590f39755d7577766d,dd7e051620218bd93500e290817021a23b61dd24e35705b37b7ad62b27887ce7,yfinance_unadjusted_plus_adj_close,akshare_sina_unadjusted,True,91.180000305176,90.699996948242,89.699996948242,89.709999084473,22889651.000000000000,89.709999084473,91.180000306873,90.699996949930,89.699996949912,89.709999086142,90.370000000000,89.710000000000,0.000000000000,0.000000000000,0.750000000000,False,,0.750000000000,False,False,-0.210546259612,0.002906675742,-0.007991364383,0.092342872611,bear,high,prospective_shadow_observation,2026-08-17,2026-08-25,0.005971334298,0.005971334298,0.000000000000,0.005971334298,0.005971334298,0.000000000000,,,,,,,,,,,,,,
2026-08-14,2026-08-14T12:09:33.970764+00:00,same_session_post_close,True,b79d64aeb7dbb567bd20783764a5438b008f174f639193ed7fb5856a71af3711,byd-shadow-v2-2026-08-14-e4948a9b8b83,e4948a9b8b83b982b44e52f90eead9039f1339327ee300103d43e4e83a00ad3d,115dd0f99a03e4777e99ed3104b829f07478685b7815884abaa947ada4ca1592,2dd341635e6f82b9360cabc4373dc0b8098411a29406887097ea42e12b60bf40,yfinance_unadjusted_plus_adj_close,akshare_sina_unadjusted,False,91.180000305176,89.680000305176,88.690002441406,88.900001525879,20949574.000000000000,88.900001525879,91.180000306873,89.680000306845,88.690002443057,88.900001527533,89.300000000000,88.900000000000,0.000000000000,0.000000000000,0.750000000000,False,,0.750000000000,False,False,-0.217674290031,0.000000000000,0.000408338082,-0.001068659115,bear,high,prospective_observation_open_quarantined,2026-08-17,2026-08-25,0.005971334298,0.005971334298,0.000000000000,0.005971334298,0.005971334298,0.000000000000,,,,,,,,,,,,,,
2026-08-17,2026-08-17T11:52:36.819878+00:00,same_session_post_close,True,a32e84e18b40aee3a7563e241214569e3ad7f0ec1d3bfb39b0911ff9c5bee15e,byd-shadow-v2-2026-08-17-aac430b5bc0f,aac430b5bc0f45c758de93a8c149689ee7a8303c5b027a5c2cd883fa918723b8,c965b486ec67e09eb85c593b40b86cc895ee288366d5dfae752845b19ff16e14,075555302297a27718afd10e7a3208c1ba8c67dcc6014ecbb04306522c7bfbc2,yfinance_unadjusted_plus_adj_close,akshare_sina_unadjusted,True,89.300003051758,90.440002441406,88.610000610352,89.879997253418,24625494.000000000000,89.879997253418,89.300003053420,90.440002443089,88.610000612001,89.879997255091,88.900000000000,89.880000000000,0.000000000000,0.000000000000,0.750000000000,False,,0.750000000000,False,False,-0.209050264833,0.011023573799,-0.001741789290,0.002013689735,bear,high,prospective_shadow_observation,,,,,,,,,,,,,,,,,,,,,,
