date,gross_return,transaction_cost,net_return,equity,one_way_turnover,equity_exposure,etf_weight,cash_weight,holding_count,holdings,return_weights,asset_weights,target_drift_due_to_trade_lock
2023-09-01,0.0,0.0002,-0.0002,0.9998,0.5,0.0,1.0,0.0,0,[],{},"{""515180"": 1.0}",0.0
2023-09-04,0.013227513227513255,0.0005250000000000001,0.012702513227513255,1.0124999727248676,0.75,0.75,0.25,0.0,8,"[""300408"", ""300782"", ""600026"", ""600426"", ""600938"", ""601899"", ""603629"", ""688676""]","{""515180"": 1.0}","{""300408"": 0.12140900467633736, ""300782"": 0.052781774664316466, ""515180"": 0.25, ""600026"": 0.06285885492021999, ""600426"": 0.1258566227543318, ""600938"": 0.15, ""601899"": 0.09083745308749856, ""603629"": 0.03832369042642172, ""688676"": 0.10793259947087407}",0.0
2023-09-05,0.0026188151796790564,0.0,0.0026188151796790564,1.015151523022864,0.0,0.7467467743055892,0.25325322569441067,0.0,8,"[""300408"", ""300782"", ""600026"", ""600426"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.12140900467633736, ""300782"": 0.052781774664316466, ""515180"": 0.25, ""600026"": 0.06285885492021999, ""600426"": 0.1258566227543318, ""600938"": 0.15, ""601899"": 0.09083745308749856, ""603629"": 0.03832369042642172, ""688676"": 0.10793259947087407}","{""300408"": 0.11965779232827282, ""300782"": 0.053920910252299406, ""515180"": 0.25325322569441067, ""600026"": 0.0640521319335993, ""600426"": 0.12341376607037957, ""600938"": 0.15075083261246794, ""601899"": 0.09180284530207532, ""603629"": 0.03724035432273251, ""688676"": 0.10590814148376236}",0.0
2023-09-06,-0.008826116690449883,0.0,-0.008826116690449883,1.0061916772221764,0.0,0.7477757969064726,0.2522242030935273,0.0,8,"[""300408"", ""300782"", ""600026"", ""600426"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.11965779232827282, ""300782"": 0.053920910252299406, ""515180"": 0.25325322569441067, ""600026"": 0.0640521319335993, ""600426"": 0.12341376607037957, ""600938"": 0.15075083261246794, ""601899"": 0.09180284530207532, ""603629"": 0.03724035432273251, ""688676"": 0.10590814148376236}","{""300408"": 0.120488683551033, ""300782"": 0.053593680837860695, ""515180"": 0.2522242030935273, ""600026"": 0.061071810955146986, ""600426"": 0.12412446282580486, ""600938"": 0.1549752342326657, ""601899"": 0.09197319418660722, ""603629"": 0.03617427582904852, ""688676"": 0.10537445448830561}",0.0
2023-09-07,-0.0018499799058135083,0.0,-0.0018499799058135083,1.0043302428379186,0.0,0.7468696215513096,0.25313037844869013,0.0,8,"[""300408"", ""300782"", ""600026"", ""600426"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.120488683551033, ""300782"": 0.053593680837860695, ""515180"": 0.2522242030935273, ""600026"": 0.061071810955146986, ""600426"": 0.12412446282580486, ""600938"": 0.1549752342326657, ""601899"": 0.09197319418660722, ""603629"": 0.03617427582904852, ""688676"": 0.10537445448830561}","{""300408"": 0.12032022888728702, ""300782"": 0.05321543083228696, ""515180"": 0.25313037844869013, ""600026"": 0.05722118955875709, ""600426"": 0.12400594364307958, ""600938"": 0.15564744675716552, ""601899"": 0.09149532981334511, ""603629"": 0.0415078748031765, ""688676"": 0.10345617725621191}",0.0
2023-09-08,-0.011978138525872883,0.0,-0.011978138525872883,0.9923002360634824,0.0,0.7453549001728471,0.2546450998271528,0.0,8,"[""300408"", ""300782"", ""600026"", ""600426"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.12032022888728702, ""300782"": 0.05321543083228696, ""515180"": 0.25313037844869013, ""600026"": 0.05722118955875709, ""600426"": 0.12400594364307958, ""600938"": 0.15564744675716552, ""601899"": 0.09149532981334511, ""603629"": 0.0415078748031765, ""688676"": 0.10345617725621191}","{""300408"": 0.11932049581796685, ""300782"": 0.054365724669574, ""515180"": 0.2546450998271528, ""600026"": 0.058069204862556886, ""600426"": 0.12338740810057706, ""600938"": 0.15597582648945604, ""601899"": 0.0931787247389828, ""603629"": 0.04001940059238906, ""688676"": 0.10103811490134441}",0.0
2023-09-11,0.004969282186928744,0.0,0.004969282186928744,0.9972312559506378,0.0,0.7479395179001864,0.2520604820998135,0.0,8,"[""300408"", ""300782"", ""600026"", ""600426"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.11932049581796685, ""300782"": 0.054365724669574, ""515180"": 0.2546450998271528, ""600026"": 0.058069204862556886, ""600426"": 0.12338740810057706, ""600938"": 0.15597582648945604, ""601899"": 0.0931787247389828, ""603629"": 0.04001940059238906, ""688676"": 0.10103811490134441}","{""300408"": 0.12070328212060523, ""300782"": 0.05480320696808572, ""515180"": 0.2520604820998135, ""600026"": 0.05854976745392774, ""600426"": 0.12242115142604988, ""600938"": 0.15336289815059395, ""601899"": 0.09165694966283586, ""603629"": 0.04228508879529052, ""688676"": 0.1041571733227975}",0.0
2023-09-12,0.002626989650302707,0.0,0.002626989650302707,0.9998509721389783,0.0,0.7466169454289793,0.25338305457102067,0.0,8,"[""300408"", ""300782"", ""600026"", ""600426"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.12070328212060523, ""300782"": 0.05480320696808572, ""515180"": 0.2520604820998135, ""600026"": 0.05854976745392774, ""600426"": 0.12242115142604988, ""600938"": 0.15336289815059395, ""601899"": 0.09165694966283586, ""603629"": 0.04228508879529052, ""688676"": 0.1041571733227975}","{""300408"": 0.12042637910136568, ""300782"": 0.05377796817543508, ""515180"": 0.25338305457102067, ""600026"": 0.05890681851790426, ""600426"": 0.12218158547333446, ""600938"": 0.153251099576211, ""601899"": 0.09247505191377145, ""603629"": 0.04220915008641458, ""688676"": 0.10338889258454281}",0.0
2023-09-13,0.002438993217772564,0.0,0.002438993217772564,1.0022896018788088,0.0,0.747453238358724,0.2525467616412759,0.0,8,"[""300408"", ""300782"", ""600026"", ""600426"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.12042637910136568, ""300782"": 0.05377796817543508, ""515180"": 0.25338305457102067, ""600026"": 0.05890681851790426, ""600426"": 0.12218158547333446, ""600938"": 0.153251099576211, ""601899"": 0.09247505191377145, ""603629"": 0.04220915008641458, ""688676"": 0.10338889258454281}","{""300408"": 0.12052594168497352, ""300782"": 0.053849753900824054, ""515180"": 0.2525467616412759, ""600026"": 0.0579996711641091, ""600426"": 0.12308908104118156, ""600938"": 0.15403552228619372, ""601899"": 0.09038231587347559, ""603629"": 0.0416097679477651, ""688676"": 0.1059611844602014}",0.0
2023-09-14,0.0018178134992396886,0.0,0.0018178134992396886,1.0041115774472518,0.0,0.7470338955282002,0.25296610447179974,0.0,8,"[""300408"", ""300782"", ""600026"", ""600426"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.12052594168497352, ""300782"": 0.053849753900824054, ""515180"": 0.2525467616412759, ""600026"": 0.0579996711641091, ""600426"": 0.12308908104118156, ""600938"": 0.15403552228619372, ""601899"": 0.09038231587347559, ""603629"": 0.0416097679477651, ""688676"": 0.1059611844602014}","{""300408"": 0.11901412487275348, ""300782"": 0.05346801379224096, ""515180"": 0.25296610447179974, ""600026"": 0.0570303339194515, ""600426"": 0.12345186767312193, ""600938"": 0.15423735241055408, ""601899"": 0.09119102001462293, ""603629"": 0.041427672935668985, ""688676"": 0.10721350990978631}",0.0
2023-09-15,0.009424283155511607,0.0,0.009424283155511607,1.0135746092728422,0.0,0.7463527643430454,0.25364723565695446,0.0,8,"[""300408"", ""300782"", ""600026"", ""600426"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.11901412487275348, ""300782"": 0.05346801379224096, ""515180"": 0.25296610447179974, ""600026"": 0.0570303339194515, ""600426"": 0.12345186767312193, ""600938"": 0.15423735241055408, ""601899"": 0.09119102001462293, ""603629"": 0.041427672935668985, ""688676"": 0.10721350990978631}","{""300408"": 0.11720422055997365, ""300782"": 0.051783626000345855, ""515180"": 0.25364723565695446, ""600026"": 0.05760568348844746, ""600426"": 0.12202897673643726, ""600938"": 0.16147576323275722, ""601899"": 0.09266838872894217, ""603629"": 0.04086407623451073, ""688676"": 0.10272202936163113}",0.0
2023-09-18,-0.007992754831660426,0.00022097311415600996,-0.008213727945816436,1.0052493831794878,0.14999999999999997,0.7499999999999999,0.2500000000000001,0.0,8,"[""300408"", ""300782"", ""600426"", ""600900"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.11720422055997365, ""300782"": 0.051783626000345855, ""515180"": 0.25364723565695446, ""600026"": 0.05760568348844746, ""600426"": 0.12202897673643726, ""600938"": 0.16147576323275722, ""601899"": 0.09266838872894217, ""603629"": 0.04086407623451073, ""688676"": 0.10272202936163113}","{""300408"": 0.11591611456418746, ""300782"": 0.04530429816837255, ""515180"": 0.2500000000000001, ""600426"": 0.11167026556230454, ""600900"": 0.15, ""600938"": 0.13151193947102563, ""601899"": 0.07914758073411286, ""603629"": 0.03128923845727716, ""688676"": 0.08516056304271974}",0.0
2023-09-19,-0.0012279028338712,0.0,-0.0012279028338712,1.0040150346131345,0.0,0.749907687573144,0.2500923124268561,0.0,8,"[""300408"", ""300782"", ""600426"", ""600900"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.11591611456418746, ""300782"": 0.04530429816837255, ""515180"": 0.2500000000000001, ""600426"": 0.11167026556230454, ""600900"": 0.15, ""600938"": 0.13151193947102563, ""601899"": 0.07914758073411286, ""603629"": 0.03128923845727716, ""688676"": 0.08516056304271974}","{""300408"": 0.11469377823437527, ""300782"": 0.04484703832619155, ""515180"": 0.2500923124268561, ""600426"": 0.11293030016400976, ""600900"": 0.14957443303824824, ""600938"": 0.13175208310596173, ""601899"": 0.0786902408842313, ""603629"": 0.031125849485848338, ""688676"": 0.0862939643342778}",0.0
2023-09-20,0.0036377897258816636,0.0,0.0036377897258816636,1.007667430190681,0.0,0.7491000832615641,0.25089991673843604,0.0,8,"[""300408"", ""300782"", ""600426"", ""600900"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.11469377823437527, ""300782"": 0.04484703832619155, ""515180"": 0.2500923124268561, ""600426"": 0.11293030016400976, ""600900"": 0.14957443303824824, ""600938"": 0.13175208310596173, ""601899"": 0.0786902408842313, ""603629"": 0.031125849485848338, ""688676"": 0.0862939643342778}","{""300408"": 0.11470545520690717, ""300782"": 0.044293006059436334, ""515180"": 0.25089991673843604, ""600426"": 0.11353624175489985, ""600900"": 0.15009587873936997, ""600938"": 0.13096182663264253, ""601899"": 0.07909581303529697, ""603629"": 0.031142467290411886, ""688676"": 0.08526939454259932}",0.0
2023-09-21,0.0007674712493518879,0.0,0.0007674712493518879,1.0084407859722606,0.0,0.7484361063412728,0.2515638936587273,0.0,8,"[""300408"", ""300782"", ""600426"", ""600900"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.11470545520690717, ""300782"": 0.044293006059436334, ""515180"": 0.25089991673843604, ""600426"": 0.11353624175489985, ""600900"": 0.15009587873936997, ""600938"": 0.13096182663264253, ""601899"": 0.07909581303529697, ""603629"": 0.031142467290411886, ""688676"": 0.08526939454259932}","{""300408"": 0.11597634471591907, ""300782"": 0.04271967559115013, ""515180"": 0.2515638936587273, ""600426"": 0.1125098295947755, ""600900"": 0.15036033643841076, ""600938"": 0.132267498081565, ""601899"": 0.07903515582551285, ""603629"": 0.030420162571500226, ""688676"": 0.08514710352243925}",0.0
2023-09-22,4.541496732852038e-05,0.0,4.541496732852038e-05,1.0084865842776083,0.0,0.7508024898765606,0.2491975101234394,0.0,8,"[""300408"", ""300782"", ""600426"", ""600900"", ""600938"", ""601899"", ""603629"", ""688676""]","{""300408"": 0.11597634471591907, ""300782"": 0.04271967559115013, ""515180"": 0.2515638936587273, ""600426"": 0.1125098295947755, ""600900"": 0.15036033643841076, ""600938"": 0.132267498081565, ""601899"": 0.07903515582551285, ""603629"": 0.030420162571500226, ""688676"": 0.08514710352243925}","{""300408"": 0.11604872323191276, ""300782"": 0.042982131779733694, ""515180"": 0.2491975101234394, ""600426"": 0.11304481799756894, ""600900"": 0.14936668751684767, ""600938"": 0.13413621136547968, ""601899"": 0.0779962185753118, ""603629"": 0.03140170090111393, ""688676"": 0.08582599850859209}",0.0
