window,datetime,instrument,score,execution_forward_return,entity,sector
2026H2_PARTIAL,2026-07-01,000001,-0.3592503369,0.04766544139,平安银行,Financials
2026H2_PARTIAL,2026-07-01,000063,-0.1036954224,0.1323781871,中兴通讯,Technology
2026H2_PARTIAL,2026-07-01,000100,0.5106256604,-0.1587837914,TCL科技,Technology
2026H2_PARTIAL,2026-07-01,000333,-0.2354323417,0.06219972449,美的集团,Consumer Discretionary
2026H2_PARTIAL,2026-07-01,000338,0.06972961128,-0.02803029477,潍柴动力,Industrials
2026H2_PARTIAL,2026-07-01,000408,-0.0901132673,0.01260740996,藏格矿业,Materials
2026H2_PARTIAL,2026-07-01,000425,-0.09083621949,0.03292688586,徐工机械,Industrials
2026H2_PARTIAL,2026-07-01,000538,-0.336784631,0.06870390492,云南白药,Health Care
2026H2_PARTIAL,2026-07-01,000568,-0.3380756378,0.09083843855,泸州老窖,Consumer Staples
2026H2_PARTIAL,2026-07-01,000596,-0.2962726057,0.1480847679,古井贡酒,Consumer Staples
2026H2_PARTIAL,2026-07-01,000651,-0.3136935532,0.04815794292,格力电器,Consumer Discretionary
2026H2_PARTIAL,2026-07-01,000661,-0.1476597041,0.09882798106,长春高新,Health Care
2026H2_PARTIAL,2026-07-01,000725,0.1073962674,-0.3351648421,京东方A,Technology
2026H2_PARTIAL,2026-07-01,000768,-0.2305392325,-0.0206692954,中航西飞,Industrials
2026H2_PARTIAL,2026-07-01,000858,-0.367166549,0.04055202786,五粮液,Consumer Staples
2026H2_PARTIAL,2026-07-01,000895,-0.3365589678,0.04810991834,双汇发展,Consumer Staples
2026H2_PARTIAL,2026-07-01,000938,0.3751011789,0.3293144761,紫光股份,Technology
2026H2_PARTIAL,2026-07-01,000963,-0.111190252,0.0837571832,华东医药,Health Care
2026H2_PARTIAL,2026-07-01,000977,0.09177318215,0.3324972375,浪潮信息,Technology
2026H2_PARTIAL,2026-07-01,000999,-0.3380756378,0.08117157176,华润三九,Health Care
2026H2_PARTIAL,2026-07-01,002001,-0.1510969698,-0.04930508951,新和成,Materials
2026H2_PARTIAL,2026-07-01,002007,-0.28079018,0.07221350807,华兰生物,Health Care
2026H2_PARTIAL,2026-07-01,002027,-0.3331930637,0.0805085024,分众传媒,Communication Services
2026H2_PARTIAL,2026-07-01,002049,-0.08199013025,-0.1602633022,紫光国微,Technology
2026H2_PARTIAL,2026-07-01,002050,-0.2817196548,-0.06252795087,三花智控,Industrials
2026H2_PARTIAL,2026-07-01,002142,-0.3380756378,0.05818678118,宁波银行,Financials
2026H2_PARTIAL,2026-07-01,002179,0.0694359839,-0.2289730707,中航光电,Industrials
2026H2_PARTIAL,2026-07-01,002202,0.1477412581,-0.2092726511,金风科技,Industrials
2026H2_PARTIAL,2026-07-01,002222,0.3066882491,-0.2247177846,福晶科技,Technology
2026H2_PARTIAL,2026-07-01,002230,-0.06400183588,0.02464622127,科大讯飞,Technology
2026H2_PARTIAL,2026-07-01,002241,-0.04805160314,0.05985272493,歌尔股份,Technology
2026H2_PARTIAL,2026-07-01,002311,-0.2076815665,0.04332675486,海大集团,Consumer Staples
2026H2_PARTIAL,2026-07-01,002352,-0.3365589678,0.03022835942,顺丰控股,Industrials
2026H2_PARTIAL,2026-07-01,002371,0.5181967616,-0.1644353413,北方华创,Technology
2026H2_PARTIAL,2026-07-01,002410,-0.09101764113,0.04796158408,广联达,Technology
2026H2_PARTIAL,2026-07-01,002415,-0.1612307578,0.01517400513,海康威视,Technology
2026H2_PARTIAL,2026-07-01,002456,0.07122121006,-0.1541710662,欧菲光,Technology
2026H2_PARTIAL,2026-07-01,002460,0.01901238598,-0.2168939015,赣锋锂业,Materials
2026H2_PARTIAL,2026-07-01,002463,0.07109607011,0.04758261417,沪电股份,Technology
2026H2_PARTIAL,2026-07-01,002466,0.05159956589,-0.1778036738,天齐锂业,Materials
