date,gross_return,transaction_cost,net_return,equity,one_way_turnover,equity_exposure,etf_weight,cash_weight,holding_count,holdings,return_weights,asset_weights,target_drift_due_to_trade_lock,pending_execution,walk_forward_recipe_id,walk_forward_validation_fold,walk_forward_transition
2024-09-04,-0.007785467128027634,0.0005096327953325408,-0.008295099923360175,0.9917049000766398,0.7280468504750582,0.7280468504750582,0.27195314952494176,0.0,11,"[""002463"", ""002594"", ""300133"", ""301291"", ""600900"", ""600938"", ""601872"", ""601899"", ""601939"", ""688008"", ""688183""]","{""515180"": 1.0}","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}",0.13953495200507218,True,s1_stable_all7_30_vol_target,f3,True
2024-09-05,-0.0001545515561974671,4.81673189713398e-06,-0.00015936828809460108,0.9915468537644195,0.0032335744804353646,0.7280468504750582,0.27195314952494176,0.0,11,"[""002463"", ""002594"", ""300133"", ""301291"", ""600900"", ""600938"", ""601872"", ""601899"", ""601939"", ""688008"", ""688183""]","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}",0.13953495200507218,True,s1_stable_all7_30_vol_target,f3,False
2024-09-06,-0.001959062575814599,6.472013552088662e-06,-0.0019655345893666875,0.9895979341263679,0.004350450851673094,0.7280468504750582,0.27195314952494176,0.0,11,"[""002463"", ""002594"", ""300133"", ""301291"", ""600900"", ""600938"", ""601872"", ""601899"", ""601939"", ""688008"", ""688183""]","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}",0.13953495200507218,True,s1_stable_all7_30_vol_target,f3,False
2024-09-09,-0.018713989883496443,1.0049045350135337e-05,-0.018724038928846578,0.9710686638838796,0.008173410543499186,0.7280468504750582,0.27195314952494176,0.0,11,"[""002463"", ""002594"", ""300133"", ""301291"", ""600900"", ""600938"", ""601872"", ""601899"", ""601939"", ""688008"", ""688183""]","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}",0.13953495200507218,True,s1_stable_all7_30_vol_target,f3,False
2024-09-10,-0.006914123852358417,6.3441046510653986e-06,-0.0069204679570094825,0.9643484143114152,0.004768372903367577,0.7280468504750582,0.27195314952494176,0.0,11,"[""002463"", ""002594"", ""300133"", ""301291"", ""600900"", ""600938"", ""601872"", ""601899"", ""601939"", ""688008"", ""688183""]","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}",0.13953495200507218,True,s1_stable_all7_30_vol_target,f3,False
2024-09-11,-0.0019922535818571755,6.825788318059609e-06,-0.001999079370175235,0.9624206052907041,0.004579378385565084,0.7280468504750582,0.27195314952494176,0.0,11,"[""002463"", ""002594"", ""300133"", ""301291"", ""600900"", ""600938"", ""601872"", ""601899"", ""601939"", ""688008"", ""688183""]","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}",0.13953495200507218,True,s1_stable_all7_30_vol_target,f3,False
2024-09-12,-0.005462207602600711,1.91248630016699e-05,-0.005481332465602381,0.9571452579813595,0.013532195559585292,0.7280468504750582,0.27195314952494176,0.0,11,"[""002463"", ""002594"", ""300133"", ""301291"", ""600900"", ""600938"", ""601872"", ""601899"", ""601939"", ""688008"", ""688183""]","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}",0.13953495200507218,True,s1_stable_all7_30_vol_target,f3,False
2024-09-13,0.004177018690026946,8.8127775467009e-06,0.004168205912480245,0.9611348365047799,0.005902844483084332,0.7280468504750582,0.27195314952494176,0.0,11,"[""002463"", ""002594"", ""300133"", ""301291"", ""600900"", ""600938"", ""601872"", ""601899"", ""601939"", ""688008"", ""688183""]","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}",0.13953495200507218,True,s1_stable_all7_30_vol_target,f3,False
2024-09-18,0.005837797527812698,1.0387763469066607e-05,0.005827409764343631,0.9667357630358787,0.0075865388830965615,0.7280468504750582,0.27195314952494176,0.0,11,"[""002463"", ""002594"", ""300133"", ""301291"", ""600900"", ""600938"", ""601872"", ""601899"", ""601939"", ""688008"", ""688183""]","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}",0.13953495200507218,True,s1_stable_all7_30_vol_target,f3,False
2024-09-19,0.00776365428912351,8.757684305729288e-05,0.007676077446066217,0.9741565016228241,0.06976747600253592,0.7470203353083538,0.25297966469164634,0.0,12,"[""002463"", ""002594"", ""300133"", ""301291"", ""600150"", ""600900"", ""600938"", ""601872"", ""601899"", ""601939"", ""688008"", ""688183""]","{""002463"": 0.04948589418273246, ""002594"": 0.09150313572307892, ""300133"": 0.047414411120778016, ""301291"": 0.05144020038868097, ""515180"": 0.27195314952494176, ""600900"": 0.13145699963333807, ""600938"": 0.05593975250859322, ""601872"": 0.05076327914054158, ""601899"": 0.05714136441413208, ""601939"": 0.09568713285727273, ""688008"": 0.07079221871058204, ""688183"": 0.02642246179532812}","{""002463"": 0.04603338824787464, ""002594"": 0.08511919289736222, ""300133"": 0.04410642733073476, ""301291"": 0.047851347442498034, ""515180"": 0.25297966469164634, ""600150"": 0.06976747600253602, ""600900"": 0.1222855765660538, ""600938"": 0.052036977167862146, ""601872"": 0.04722165328129382, ""601899"": 0.05315475564361697, ""601939"": 0.08901128311190148, ""688008"": 0.06585322429052523, ""688183"": 0.024579033326094648}",3.2612801348363973e-16,False,s1_stable_all7_30_vol_target,f3,False
